"id","first_name","last_name","email","department","last_promoted","salary"
"14-992-2474","Godfry","Tohill","GTohill@abc.com","Training","2017","94444.73"
"23-962-7404","Benni","Vigus","BVigus@abc.com","Marketing","2021","55635.93"
"53-862-0545","Kristoforo","MacNeice","kmacneice2@cornell.edu","Legal","2019","166797.26"
"19-741-6512","Oates","Chuck","ochuck3@telegraph.co.uk","Training","2018","146675.42"
"98-219-3304","Caryl","Shane","CShane@abc.com","Training","2016","155451.01"
"20-161-2846","Torry","Roomes","troomes5@marketwatch.com","Support","2018","125265.24"
"82-784-8086","Harley","Clarey","hclarey6@reverbnation.com","Research and Development","2018","70909.8525"
"98-217-2127","Michele","Bonnaire","mbonnaire7@xinhuanet.com","Legal","2017","154200.91"
"55-614-1198","Margot","Vant","mvant8@chicagotribune.com","Marketing","2021","139167.861"
"61-682-3915","Ashton","Haughey","ahaughey9@cmu.edu","Support","2017","91611.41"
"45-939-2562","Flory","Lougheid","flougheida@addthis.com","Legal","2018","134476.17"
"65-156-4566","Tally","McQuillan","tmcquillanb@state.tx.us","Product Management","2019","138520.27"
"59-469-7391","Peadar","Care","PCare@abc.com","Training","2016","57791.92"
"08-728-6964","Alayne","Tudhope","atudhoped@so-net.ne.jp","Business Development","2017","138975.35"
"37-226-7190","Franky","Brandino","fbrandinoe@people.com.cn","Product Management","2016","126735.86"
"07-747-0301","Mignon","Swatheridge","mswatheridgef@marriott.com","Support","2017","58641.47"
"09-800-0110","Cristobal","Lamball","clamballg@nbcnews.com","Human Resources","2016","93373.37"
"66-179-2445","Mannie","Harmant","mharmanth@parallels.com","Human Resources","2016","164022.37"
"09-972-6330","Dyann","Matessian","DMatessian@abc.com","Engineering","2019","74216.39"
"43-272-4539","Mair","Loveman","MLoveman@abc.com","Support","2016","144416.96"
"41-666-1158","Erinna","Duffil","eduffilk@theglobeandmail.com","Marketing","2018","106127.28"
"32-261-4691","Feodor","Claw","FClaw@abc.com","Accounting","2019","74825.46"
"93-555-2425","Terra","Fynan","tfynanm@google.nl","Business Development","2019","183796.4"
"28-241-1795","Rutter","Uridge","ruridgen@bloomberg.com","Engineering","2019","53975.2"
"10-407-4564","Agnese","Cockren","ACockren@abc.com","Engineering","2019","76726.94"
"75-314-5567","Gustav","De Caroli","gdecarolip@people.com.cn","Human Resources","2018","104156.87"
"86-538-2976","Kayle","Hatje","KHatje@abc.com","Marketing","2019","171721.83"
"40-739-6233","Brian","Yankov","byankovr@php.net","Marketing","2021","96472.236"
"52-290-1225","Hyacinthe","Comiskey","hcomiskeys@china.com.cn","Legal","2017","153938.25"
"78-000-2407","Gavrielle","Josey","gjoseyt@biblegateway.com","Training","2015","145854.56"
"95-597-7133","Agace","Ife","aifeu@businessweek.com","Support","2019","133097.98"
"50-138-7784","Lynnell","Iggo","LIggo@abc.com","Business Development","2017","192424.05"
"59-473-9962","Corrie","Meller","cmellerw@weebly.com","Product Management","2018","84337.4"
"93-455-2115","Gayle","Jewson","gjewsonx@yale.edu","Support","2016","104777.69"
"56-019-3036","Bear","Caris","bcarisz@sitemeter.com","Accounting","2019","125042.71"
"59-000-4656","Katerine","Plevey","kplevey10@squidoo.com","Legal","2018","109128.05"
"92-642-9822","Hana","Timperley","HTimperley@abc.com","Legal","2015","162441.37"
"14-792-9014","Titus","Robeiro","trobeiro12@barnesandnoble.com","Sales","2019","79226.35"
"56-940-9139","Hester","LeEstut","hleestut13@nytimes.com","Research and Development","2016","116423.241"
"11-326-1800","Hanson","Burchmore","hburchmore14@amazonaws.com","Business Development","2015","138461.23"
"19-543-1517","Alia","Pettifor","apettifor15@google.ca","Research and Development","2016","162697.779"
"35-753-4778","Carina","Clemetts","cclemetts16@wikipedia.org","Support","2017","148954.7"
"70-164-2641","Addia","Jaycock","ajaycock17@furl.net","Marketing","2021","196297.101"
"22-526-1381","Ray","Willshear","rwillshear18@booking.com","Support","2017","101419.37"
"00-082-9206","Cleavland","Corter","ccorter19@wiley.com","Accounting","2015","105392.25"
"61-777-3769","Arley","Ather","aather1a@upenn.edu","Human Resources","2015","197855.29"
"17-763-8068","Cristie","Arp","carp1b@qq.com","Sales","2016","53787.65"
"83-661-5553","Koressa","Konke","kkonke1c@mlb.com","Accounting","2018","145365.49"
"41-505-2848","Reynold","Hanselman","rhanselman1d@dagondesign.com","Engineering","2021","131260.13999999998"
"75-571-4601","Amabel","Siggs","asiggs1e@gmpg.org","Human Resources","2015","191463.11"
